Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
20,64.96,62.6,F,64.96,2,165.0,159.0,165.0
21,72.05,64.57,M,73.23,2,183.0,164.0,186.0
21,72.05,64.57,F,63.39,2,183.0,164.0,161.0
22,68.9,62.2,M,69.09,2,175.0,158.0,175.5
22,68.9,62.2,F,64.17,2,175.0,158.0,163.0
23,67.32,63.78,M,66.93,2,171.0,162.0,170.0
23,67.32,63.78,M,68.11,2,171.0,162.0,173.0
24,68.11,62.99,M,69.69,2,173.0,160.0,177.0
24,68.11,62.99,M,72.05,2,173.0,160.0,183.0
25,66.14,61.81,M,67.72,3,168.0,157.0,172.0
25,66.14,61.81,F,58.27,3,168.0,157.0,148.0
25,66.14,61.81,M,69.69,3,168.0,157.0,177.0
26,66.93,62.99,M,68.5,2,170.0,160.0,174.0
26,66.93,62.99,F,64.96,2,170.0,160.0,165.0
27,66.93,62.99,M,70.87,2,170.0,160.0,180.0
27,66.93,62.99,F,64.96,2,170.0,160.0,165.0
28,64.96,62.99,M,70.87,2,165.0,160.0,180.0
28,64.96,62.99,M,72.05,2,165.0,160.0,183.0
29,64.96,62.99,M,71.26,2,165.0,160.0,181.0
29,64.96,62.99,M,71.65,2,165.0,160.0,182.0
30,72.11,66.78,M,70.66,1,183.17,169.61,179.47
31,67.24,61.45,F,63.1,2,170.79,156.07,160.26
31,67.24,61.45,F,62.15,2,170.79,156.07,157.86
32,70.55,64.85,M,68.89,1,179.2,164.72,174.98
33,72.09,67.48,F,66.06,1,183.1,171.4,167.79
34,74.79,68.73,F,68.42,2,189.96,174.59,173.79
34,74.79,68.73,F,66.38,2,189.96,174.59,168.6
35,69.96,63.11,F,67.18,4,177.69,160.29,170.63
35,69.96,63.11,F,64.46,4,177.69,160.29,163.73
35,69.96,63.11,M,70.36,4,177.69,160.29,178.72
35,69.96,63.11,F,63.49,4,177.69,160.29,161.26
36,72.16,66.13,F,66.68,2,183.28,167.97,169.36
36,72.16,66.13,F,70.34,2,183.28,167.97,178.66
37,71.14,65.92,F,66.5,4,180.7,167.45,168.91
37,71.14,65.92,F,65.99,4,180.7,167.45,167.63
37,71.14,65.92,M,72.9,4,180.7,167.45,185.16
37,71.14,65.92,M,71.45,4,180.7,167.45,181.48
38,65.02,59.46,F,61.65,3,165.15,151.04,156.6
38,65.02,59.46,M,67.29,3,165.15,151.04,170.91
38,65.02,59.46,M,66.68,3,165.15,151.04,169.37
39,69.8,65.26,M,69.81,1,177.29,165.77,177.31
40,74.62,68.96,M,72.46,4,189.55,175.15,184.06
40,74.62,68.96,F,68.64,4,189.55,175.15,174.35
40,74.62,68.96,F,67.24,4,189.55,175.15,170.78
40,74.62,68.96,F,72.25,4,189.55,175.15,183.52
41,67.89,61.89,F,60.84,1,172.44,157.21,154.53
42,65.31,60.81,M,65.67,3,165.88,154.47,166.8
42,65.31,60.81,M,65.59,3,165.88,154.47,166.6
42,65.31,60.81,M,63.04,3,165.88,154.47,160.13
43,71.21,63.42,M,70.26,2,180.87,161.1,178.47
43,71.21,63.42,F,66.95,2,180.87,161.1,170.06
44,66.33,60.78,M,67.64,1,168.48,154.39,171.8
45,72.75,68.19,M,71.14,1,184.79,173.2,180.7
46,73.07,67.66,M,74.26,2,185.59,171.87,188.61
46,73.07,67.66,M,74.23,2,185.59,171.87,188.53
47,67.44,62.74,F,64.92,2,171.31,159.35,164.88
47,67.44,62.74,M,69.44,2,171.31,159.35,176.38
48,72.01,66.51,F,66.21,1,182.91,168.92,168.18
49,72.15,65.85,M,71.57,1,183.27,167.26,181.79
50,69.8,66.49,F,65.77,2,177.29,168.89,167.05
50,69.8,66.49,F,66.6,2,177.29,168.89,169.17
51,70.68,65.78,M,71.51,1,179.52,167.08,181.63
52,69.41,64.07,M,68.05,1,176.3,162.74,172.84
53,64.99,60.04,M,65.36,2,165.07,152.49,166.01
53,64.99,60.04,M,66.88,2,165.07,152.49,169.87
54,73.14,64.15,F,65.18,2,185.78,162.93,165.55
54,73.14,64.15,M,70.82,2,185.78,162.93,179.88
55,69.9,64.23,M,69.15,2,177.56,163.15,175.65
55,69.9,64.23,M,68.97,2,177.56,163.15,175.19
56,70.82,65.22,M,70.52,2,179.88,165.65,179.11
56,70.82,65.22,M,71.66,2,179.88,165.65,182.03
57,70.02,65.01,M,69.46,2,177.85,165.12,176.43
57,70.02,65.01,F,66.51,2,177.85,165.12,168.93
58,73.84,68.08,M,74.8,3,187.54,172.93,189.98
58,73.84,68.08,M,71.04,3,187.54,172.93,180.43
58,73.84,68.08,M,71.7,3,187.54,172.93,182.12
59,71.52,67.61,F,65.52,2,181.67,171.72,166.41
59,71.52,67.61,F,69.55,2,181.67,171.72,176.66
60,68.17,62.31,M,66.76,2,173.15,158.27,169.58
60,68.17,62.31,M,73.04,2,173.15,158.27,185.52
61,72.93,68.39,M,73.83,2,185.24,173.72,187.53
61,72.93,68.39,F,65.47,2,185.24,173.72,166.3
62,71.59,67.34,M,72.01,2,181.83,171.05,182.92
62,71.59,67.34,F,67.52,2,181.83,171.05,171.5
63,69.37,62.94,M,72.3,2,176.2,159.88,183.64
63,69.37,62.94,M,67.1,2,176.2,159.88,170.43
64,73.11,68.55,F,71.25,2,185.7,174.11,180.97
64,73.11,68.55,F,69.02,2,185.7,174.11,175.31
65,69.62,63.89,F,66.13,1,176.84,162.29,167.97
66,71.64,67.91,F,66.22,2,181.96,172.49,168.19
66,71.64,67.91,F,65.66,2,181.96,172.49,166.78
67,65.64,60.21,F,59.61,1,166.73,152.94,151.41
68,70.5,66.03,M,71.29,1,179.08,167.71,181.08
69,73.33,69.26,M,73.03,4,186.27,175.92,185.5
69,73.33,69.26,F,65.88,4,186.27,175.92,167.33
69,73.33,69.26,F,71.93,4,186.27,175.92,182.69
69,73.33,69.26,F,67.06,4,186.27,175.92,170.34
70,74.49,70.16,F,67.45,4,189.19,178.22,171.33
70,74.49,70.16,M,76.95,4,189.19,178.22,195.44
70,74.49,70.16,M,75.74,4,189.19,178.22,192.37
70,74.49,70.16,F,70.2,4,189.19,178.22,178.3
71,73.13,67.16,M,70.79,2,185.76,170.59,179.81
71,73.13,67.16,M,69.55,2,185.76,170.59,176.66
72,69.38,64.01,M,70.25,1,176.22,162.59,178.45
73,74.3,69.4,F,73.25,2,188.73,176.28,186.05
73,74.3,69.4,F,66.76,2,188.73,176.28,169.56
74,71.24,66.3,M,66.61,3,180.94,168.39,169.18
74,71.24,66.3,F,62.64,3,180.94,168.39,159.1
74,71.24,66.3,F,69.99,3,180.94,168.39,177.77
75,69.67,64.59,M,67.6,1,176.97,164.05,171.71
76,71.07,66.32,F,63.41,1,180.53,168.45,161.07
77,72.78,68.81,M,75.3,4,184.87,174.77,191.25
77,72.78,68.81,F,67.47,4,184.87,174.77,171.37
77,72.78,68.81,F,69.85,4,184.87,174.77,177.43
77,72.78,68.81,M,75.5,4,184.87,174.77,191.76
78,66.69,62.01,F,65.35,2,169.39,157.5,165.99
78,66.69,62.01,M,68.71,2,169.39,157.5,174.51
79,74.58,69.38,M,77.29,1,189.43,176.23,196.33
80,65.29,60.37,F,58.35,1,165.85,153.34,148.22
81,67.13,60.97,M,64.51,2,170.5,154.86,163.86
81,67.13,60.97,M,69.36,2,170.5,154.86,176.17
82,67.87,62.42,M,67.62,3,172.39,158.55,171.77
82,67.87,62.42,F,62.44,3,172.39,158.55,158.6
82,67.87,62.42,F,63.94,3,172.39,158.55,162.4
83,71.4,66.27,M,73.61,1,181.34,168.32,186.96
84,65.71,61.58,M,66.49,2,166.91,156.4,168.87
84,65.71,61.58,F,66.09,2,166.91,156.4,167.87
85,72.67,68.51,M,73.45,3,184.57,174.01,186.57
85,72.67,68.51,M,73.39,3,184.57,174.01,186.4
85,72.67,68.51,M,73.2,3,184.57,174.01,185.94
86,69.8,65.21,F,67.63,3,177.29,165.63,171.78
86,69.8,65.21,F,70.28,3,177.29,165.63,178.5
86,69.8,65.21,M,69.27,3,177.29,165.63,175.95
87,74.03,68.55,M,72.88,3,188.03,174.1,185.13
87,74.03,68.55,F,68.73,3,188.03,174.1,174.58
87,74.03,68.55,M,73.87,3,188.03,174.1,187.64
88,67.85,61.91,M,69.06,1,172.34,157.24,175.41
89,65.36,56.93,M,67.07,3,166.02,144.59,170.36
89,65.36,56.93,M,61.21,3,166.02,144.59,155.47
89,65.36,56.93,M,61.04,3,166.02,144.59,155.04
90,74.77,71.79,M,77.49,3,189.91,182.35,196.84
90,74.77,71.79,M,75.09,3,189.91,182.35,190.72
90,74.77,71.79,M,73.76,3,189.91,182.35,187.34
91,73.8,70.05,F,69.17,1,187.45,177.93,175.7
92,65.24,60.31,F,58.58,2,165.7,153.19,148.81
92,65.24,60.31,M,67.85,2,165.7,153.19,172.35
93,66.41,61.22,F,62.19,2,168.67,155.5,157.97
93,66.41,61.22,F,64.09,2,168.67,155.5,162.78
94,74.48,66.09,M,74.2,4,189.19,167.86,188.47
94,74.48,66.09,F,72.51,4,189.19,167.86,184.18
94,74.48,66.09,M,74.47,4,189.19,167.86,189.16
94,74.48,66.09,F,67.27,4,189.19,167.86,170.86
95,71.6,68.48,F,66.03,2,181.86,173.94,167.73
95,71.6,68.48,F,68.72,2,181.86,173.94,174.54
96,70.67,65.7,F,65.27,2,179.5,166.89,165.78
96,70.67,65.7,M,68.96,2,179.5,166.89,175.16
97,71.56,67.19,F,69.29,1,181.75,170.66,175.99
98,67.72,61.09,F,62.44,4,172.02,155.18,158.6
98,67.72,61.09,F,61.87,4,172.02,155.18,157.15
98,67.72,61.09,M,68.3,4,172.02,155.18,173.49
98,67.72,61.09,F,62.68,4,172.02,155.18,159.22
99,73.74,69.48,F,70.82,1,187.31,176.48,179.88
100,69.62,64.9,F,65.54,2,176.82,164.84,166.48
100,69.62,64.9,M,67.09,2,176.82,164.84,170.4
101,71.06,66.29,F,66.5,1,180.48,168.38,168.92
102,74.31,66.65,F,64.08,2,188.75,169.29,162.77
102,74.31,66.65,M,73.15,2,188.75,169.29,185.79
103,73.0,68.04,M,76.92,1,185.42,172.82,195.38
104,70.29,66.21,F,65.55,1,178.53,168.17,166.51
105,67.13,59.89,F,62.79,2,170.52,152.11,159.48
105,67.13,59.89,F,59.08,2,170.52,152.11,150.07
106,74.69,71.04,M,76.6,3,189.71,180.44,194.56
106,74.69,71.04,M,71.76,3,189.71,180.44,182.28
106,74.69,71.04,M,74.19,3,189.71,180.44,188.44
107,70.32,65.0,F,67.09,3,178.61,165.09,170.42
107,70.32,65.0,M,68.09,3,178.61,165.09,172.95
107,70.32,65.0,M,70.12,3,178.61,165.09,178.11
108,68.83,64.12,M,68.75,3,174.83,162.87,174.62
108,68.83,64.12,F,61.68,3,174.83,162.87,156.66
108,68.83,64.12,M,71.46,3,174.83,162.87,181.5
109,65.82,62.03,M,67.61,3,167.19,157.56,171.73
109,65.82,62.03,M,66.19,3,167.19,157.56,168.13
109,65.82,62.03,M,66.34,3,167.19,157.56,168.5
110,74.24,68.36,M,76.02,1,188.58,173.63,193.09
111,73.72,67.61,F,67.5,1,187.24,171.74,171.46
112,70.39,65.09,M,69.58,1,178.8,165.32,176.72
113,68.53,62.67,M,69.09,3,174.07,159.19,175.48
113,68.53,62.67,M,66.31,3,174.07,159.19,168.43
113,68.53,62.67,M,68.4,3,174.07,159.19,173.73
114,71.89,67.35,F,63.59,2,182.6,171.07,161.52
114,71.89,67.35,M,70.12,2,182.6,171.07,178.11
115,67.55,62.33,F,62.04,1,171.57,158.33,157.59
116,74.37,69.55,M,79.54,2,188.91,176.67,202.02
116,74.37,69.55,M,78.07,2,188.91,176.67,198.29
117,69.05,63.0,M,63.98,3,175.39,160.03,162.51
117,69.05,63.0,M,68.04,3,175.39,160.03,172.82
117,69.05,63.0,M,65.51,3,175.39,160.03,166.4
118,67.77,64.04,F,63.27,1,172.15,162.67,160.71
119,73.84,72.26,M,76.43,2,187.55,183.53,194.13
119,73.84,72.26,M,74.68,2,187.55,183.53,189.68
120,67.12,61.84,M,67.72,1,170.49,157.08,172.01
121,68.17,63.86,F,64.46,1,173.14,162.2,163.74
122,67.11,61.26,M,67.11,3,170.47,155.6,170.47
122,67.11,61.26,F,60.22,3,170.47,155.6,152.96
122,67.11,61.26,F,64.13,3,170.47,155.6,162.89
123,65.85,63.02,M,69.1,1,167.26,160.08,175.5
124,66.64,60.37,M,67.58,1,169.26,153.34,171.66
125,68.8,64.38,M,69.28,2,174.74,163.52,175.96
125,68.8,64.38,F,64.22,2,174.74,163.52,163.13
126,71.96,68.97,M,74.76,1,182.78,175.19,189.88
127,66.06,61.88,F,59.73,1,167.79,157.18,151.71
