Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
76,70,64,M,68,7,177.8,162.56,172.72
76,70,64,M,67,7,177.8,162.56,170.18
76,70,64,M,66,7,177.8,162.56,167.64
76,70,64,M,65,7,177.8,162.56,165.1
76,70,64,F,67,7,177.8,162.56,170.18
77,70,64,M,70,4,177.8,162.56,177.8
77,70,64,M,68,4,177.8,162.56,172.72
77,70,64,M,66.7,4,177.8,162.56,169.418
77,70,64,F,65.5,4,177.8,162.56,166.37
78,70,64.2,M,72,5,177.8,163.068,182.88
78,70,64.2,M,70,5,177.8,163.068,177.8
78,70,64.2,F,62.5,5,177.8,163.068,158.75
78,70,64.2,F,61.2,5,177.8,163.068,155.448
78,70,64.2,F,60.1,5,177.8,163.068,152.654
79,70.5,64,M,74,8,179.07,162.56,187.96
79,70.5,64,M,69.5,8,179.07,162.56,176.53
79,70.5,64,M,69,8,179.07,162.56,175.26
79,70.5,64,M,68,8,179.07,162.56,172.72
79,70.5,64,M,68,8,179.07,162.56,172.72
79,70.5,64,M,68,8,179.07,162.56,172.72
79,70.5,64,F,65.5,8,179.07,162.56,166.37
79,70.5,64,F,65,8,179.07,162.56,165.1
80,70.5,64.5,F,60,1,179.07,163.83,152.4
81,70,64,M,68,4,177.8,162.56,172.72
81,70,64,F,65,4,177.8,162.56,165.1
81,70,64,F,64,4,177.8,162.56,162.56
81,70,64,F,62,4,177.8,162.56,157.48
82,70,64,M,71,9,177.8,162.56,180.34
82,70,64,M,70,9,177.8,162.56,177.8
82,70,64,M,70,9,177.8,162.56,177.8
82,70,64,M,70,9,177.8,162.56,177.8
82,70,64,M,69.5,9,177.8,162.56,176.53
82,70,64,M,68.5,9,177.8,162.56,173.99
82,70,64,F,69,9,177.8,162.56,175.26
82,70,64,F,65,9,177.8,162.56,165.1
82,70,64,F,64,9,177.8,162.56,162.56
83,70,63.7,M,70,8,177.8,161.798,177.8
83,70,63.7,M,67,8,177.8,161.798,170.18
83,70,63.7,M,65.5,8,177.8,161.798,166.37
83,70,63.7,F,63.7,8,177.8,161.798,161.798
83,70,63.7,F,63.2,8,177.8,161.798,160.528
83,70,63.7,F,62.5,8,177.8,161.798,158.75
83,70,63.7,F,62.2,8,177.8,161.798,157.988
83,70,63.7,F,61,8,177.8,161.798,154.94
85,70.5,63,M,72.5,5,179.07,160.02,184.15
85,70.5,63,M,69,5,179.07,160.02,175.26
85,70.5,63,M,67,5,179.07,160.02,170.18
85,70.5,63,F,64.5,5,179.07,160.02,163.83
85,70.5,63,F,64,5,179.07,160.02,162.56
86,70,63.5,M,71,4,177.8,161.29,180.34
86,70,63.5,M,67.5,4,177.8,161.29,171.45
86,70,63.5,F,67.5,4,177.8,161.29,171.45
86,70,63.5,F,63.5,4,177.8,161.29,161.29
87,70,63,M,68,4,177.8,160.02,172.72
87,70,63,M,67,4,177.8,160.02,170.18
87,70,63,F,63.7,4,177.8,160.02,161.798
87,70,63,F,62,4,177.8,160.02,157.48
88,70,63,M,70,4,177.8,160.02,177.8
88,70,63,M,66.5,4,177.8,160.02,168.91
88,70,63,F,62,4,177.8,160.02,157.48
88,70,63,F,61,4,177.8,160.02,154.94
89,70.5,62,M,72,8,179.07,157.48,182.88
89,70.5,62,M,70,8,179.07,157.48,177.8
89,70.5,62,M,69.5,8,179.07,157.48,176.53
89,70.5,62,M,69.5,8,179.07,157.48,176.53
89,70.5,62,M,68,8,179.07,157.48,172.72
89,70.5,62,F,65,8,179.07,157.48,165.1
89,70.5,62,F,64,8,179.07,157.48,162.56
89,70.5,62,F,63,8,179.07,157.48,160.02
90,70.3,62.7,M,70.7,7,178.562,159.258,179.578
90,70.3,62.7,M,69.7,7,178.562,159.258,177.038
90,70.3,62.7,M,69.2,7,178.562,159.258,175.768
90,70.3,62.7,M,65.2,7,178.562,159.258,165.608
90,70.3,62.7,F,64,7,178.562,159.258,162.56
90,70.3,62.7,F,63.5,7,178.562,159.258,161.29
90,70.3,62.7,F,63.2,7,178.562,159.258,160.528
91,70.5,62,M,72,3,179.07,157.48,182.88
91,70.5,62,M,72,3,179.07,157.48,182.88
91,70.5,62,F,60,3,179.07,157.48,152.4
92,70,61,M,71.2,2,177.8,154.94,180.848
92,70,61,M,67,2,177.8,154.94,170.18
93,70,60,M,67,4,177.8,152.4,170.18
93,70,60,M,64.5,4,177.8,152.4,163.83
93,70,60,F,65,4,177.8,152.4,165.1
93,70,60,F,63,4,177.8,152.4,160.02
94,70,60,F,65,2,177.8,152.4,165.1
94,70,60,F,65,2,177.8,152.4,165.1
95,70,58.5,M,71.5,3,177.8,148.59,181.61
95,70,58.5,M,64.5,3,177.8,148.59,163.83
95,70,58.5,F,63,3,177.8,148.59,160.02
96,70,58,M,72,5,177.8,147.32,182.88
96,70,58,M,66,5,177.8,147.32,167.64
96,70,58,F,66,5,177.8,147.32,167.64
96,70,58,F,65,5,177.8,147.32,165.1
96,70,58,F,63,5,177.8,147.32,160.02
97,69,68.5,M,75,10,175.26,173.99,190.5
97,69,68.5,M,71,10,175.26,173.99,180.34
97,69,68.5,M,70,10,175.26,173.99,177.8
97,69,68.5,F,66,10,175.26,173.99,167.64
97,69,68.5,F,66,10,175.26,173.99,167.64
97,69,68.5,F,65.5,10,175.26,173.99,166.37
97,69,68.5,F,65,10,175.26,173.99,165.1
97,69,68.5,F,65,10,175.26,173.99,165.1
97,69,68.5,F,64,10,175.26,173.99,162.56
97,69,68.5,F,64,10,175.26,173.99,162.56
98,69,67,F,64,1,175.26,170.18,162.56
99,69,66,M,73,8,175.26,167.64,185.42
99,69,66,M,72,8,175.26,167.64,182.88
99,69,66,M,71.7,8,175.26,167.64,182.118
99,69,66,M,71.5,8,175.26,167.64,181.61
99,69,66,F,65.5,8,175.26,167.64,166.37
99,69,66,F,65,8,175.26,167.64,165.1
99,69,66,F,62.7,8,175.26,167.64,159.258
99,69,66,F,62.5,8,175.26,167.64,158.75
100,69,66,M,71.2,3,175.26,167.64,180.848
100,69,66,M,71,3,175.26,167.64,180.34
100,69,66,M,70,3,175.26,167.64,177.8
101,69,66.7,M,75,6,175.26,169.418,190.5
101,69,66.7,M,74,6,175.26,169.418,187.96
101,69,66.7,M,72,6,175.26,169.418,182.88
101,69,66.7,M,68.5,6,175.26,169.418,173.99
101,69,66.7,M,67,6,175.26,169.418,170.18
101,69,66.7,M,66,6,175.26,169.418,167.64
102,69,66,M,70,6,175.26,167.64,177.8
102,69,66,M,68.5,6,175.26,167.64,173.99
102,69,66,M,68,6,175.26,167.64,172.72
102,69,66,F,65,6,175.26,167.64,165.1
102,69,66,F,63,6,175.26,167.64,160.02
102,69,66,F,62.5,6,175.26,167.64,158.75
103,69,66.5,M,73,5,175.26,168.91,185.42
103,69,66.5,M,71,5,175.26,168.91,180.34
103,69,66.5,M,70.5,5,175.26,168.91,179.07
103,69,66.5,M,70.5,5,175.26,168.91,179.07
103,69,66.5,F,61,5,175.26,168.91,154.94
104,69.5,66.5,M,70.5,4,176.53,168.91,179.07
104,69.5,66.5,M,67.5,4,176.53,168.91,171.45
104,69.5,66.5,F,64.5,4,176.53,168.91,163.83
104,69.5,66.5,F,64,4,176.53,168.91,162.56
105,69,66.5,M,71,6,175.26,168.91,180.34
105,69,66.5,F,68.5,6,175.26,168.91,173.99
105,69,66.5,F,67.5,6,175.26,168.91,171.45
105,69,66.5,F,66,6,175.26,168.91,167.64
105,69,66.5,F,63,6,175.26,168.91,160.02
105,69,66.5,F,63,6,175.26,168.91,160.02
106,69.5,66,M,71,7,176.53,167.64,180.34
106,69.5,66,M,71,7,176.53,167.64,180.34
106,69.5,66,M,70.5,7,176.53,167.64,179.07
106,69.5,66,M,70.5,7,176.53,167.64,179.07
106,69.5,66,F,66.5,7,176.53,167.64,168.91
106,69.5,66,F,65.5,7,176.53,167.64,166.37
106,69.5,66,F,64.5,7,176.53,167.64,163.83
107,69,66,M,73,9,175.26,167.64,185.42
107,69,66,M,72,9,175.26,167.64,182.88
107,69,66,M,69,9,175.26,167.64,175.26
107,69,66,M,69,9,175.26,167.64,175.26
107,69,66,F,66.5,9,175.26,167.64,168.91
107,69,66,F,65.5,9,175.26,167.64,166.37
107,69,66,F,65.5,9,175.26,167.64,166.37
107,69,66,F,65,9,175.26,167.64,165.1
107,69,66,F,64,9,175.26,167.64,162.56
108,69,65,M,70,7,175.26,165.1,177.8
108,69,65,M,68.5,7,175.26,165.1,173.99
108,69,65,M,67,7,175.26,165.1,170.18
108,69,65,F,65,7,175.26,165.1,165.1
108,69,65,F,64,7,175.26,165.1,162.56
108,69,65,F,63.5,7,175.26,165.1,161.29
108,69,65,F,61,7,175.26,165.1,154.94
109,69.5,64.5,M,69.7,7,176.53,163.83,177.038
109,69.5,64.5,M,68,7,176.53,163.83,172.72
109,69.5,64.5,M,60,7,176.53,163.83,152.4
109,69.5,64.5,F,65.2,7,176.53,163.83,165.608
109,69.5,64.5,F,64.5,7,176.53,163.83,163.83
109,69.5,64.5,F,63.7,7,176.53,163.83,161.798
109,69.5,64.5,F,60,7,176.53,163.83,152.4
110,69.2,64,M,71.7,4,175.768,162.56,182.118
110,69.2,64,M,66.5,4,175.768,162.56,168.91
110,69.2,64,F,65,4,175.768,162.56,165.1
110,69.2,64,F,63.5,4,175.768,162.56,161.29
112,69,63,M,69,3,175.26,160.02,175.26
112,69,63,F,67.5,3,175.26,160.02,171.45
112,69,63,F,63.5,3,175.26,160.02,161.29
113,69,63,M,72,1,175.26,160.02,182.88
114,69,63,M,73,6,175.26,160.02,185.42
114,69,63,M,70,6,175.26,160.02,177.8
114,69,63,M,70,6,175.26,160.02,177.8
114,69,63,M,64,6,175.26,160.02,162.56
114,69,63,F,66,6,175.26,160.02,167.64
114,69,63,F,62,6,175.26,160.02,157.48
115,69,63.5,M,70.5,7,175.26,161.29,179.07
115,69,63.5,M,67,7,175.26,161.29,170.18
115,69,63.5,M,66,7,175.26,161.29,167.64
115,69,63.5,F,65,7,175.26,161.29,165.1
115,69,63.5,F,63,7,175.26,161.29,160.02
115,69,63.5,F,62,7,175.26,161.29,157.48
115,69,63.5,F,61,7,175.26,161.29,154.94
116,69,63.5,M,70.5,3,175.26,161.29,179.07
116,69,63.5,F,63.7,3,175.26,161.29,161.798
116,69,63.5,F,63,3,175.26,161.29,160.02
117,69.7,62,F,62.5,1,177.038,157.48,158.75
118,69.5,62,M,73,3,176.53,157.48,185.42
118,69.5,62,M,72,3,176.53,157.48,182.88
118,69.5,62,M,69,3,176.53,157.48,175.26
119,69,62,M,73,5,175.26,157.48,185.42
119,69,62,M,71,5,175.26,157.48,180.34
119,69,62,M,71,5,175.26,157.48,180.34
119,69,62,M,69,5,175.26,157.48,175.26
119,69,62,F,63,5,175.26,157.48,160.02
121,69,62.5,M,71,8,175.26,158.75,180.34
121,69,62.5,M,70,8,175.26,158.75,177.8
121,69,62.5,M,70,8,175.26,158.75,177.8
121,69,62.5,M,69,8,175.26,158.75,175.26
121,69,62.5,F,63.5,8,175.26,158.75,161.29
121,69,62.5,F,62.5,8,175.26,158.75,158.75
121,69,62.5,F,62.5,8,175.26,158.75,158.75
121,69,62.5,F,62,8,175.26,158.75,157.48
122,69,62,M,72,4,175.26,157.48,182.88
122,69,62,M,68,4,175.26,157.48,172.72
122,69,62,F,66,4,175.26,157.48,167.64
122,69,62,F,66,4,175.26,157.48,167.64
123,69.5,61,M,70,5,176.53,154.94,177.8
123,69.5,61,M,69.5,5,176.53,154.94,176.53
123,69.5,61,M,69,5,176.53,154.94,175.26
123,69.5,61,F,63,5,176.53,154.94,160.02
123,69.5,61,F,62,5,176.53,154.94,157.48
124,69,61,M,68,9,175.26,154.94,172.72
124,69,61,M,68,9,175.26,154.94,172.72
124,69,61,M,67.5,9,175.26,154.94,171.45
124,69,61,M,64,9,175.26,154.94,162.56
124,69,61,M,63,9,175.26,154.94,160.02
124,69,61,M,63,9,175.26,154.94,160.02
124,69,61,F,63.5,9,175.26,154.94,161.29
124,69,61,F,62,9,175.26,154.94,157.48
