Gender,Father(cm),mother(cm),Height(cm)
F,177.8,175.26,157.48
M,177.8,172.72,190.5
M,177.8,170.18,177.8
M,177.8,170.18,175.26
F,177.8,170.18,167.64
F,177.8,170.18,162.56
F,177.8,170.18,152.4
F,177.8,170.18,171.45
M,177.8,168.91,185.42
M,177.8,168.91,182.88
M,177.8,168.91,182.88
M,177.8,168.91,168.91
F,177.8,168.91,175.768
F,177.8,168.91,170.688
F,177.8,168.91,168.91
F,177.8,168.91,167.64
F,177.8,168.91,167.64
F,177.8,168.91,163.068
F,177.8,168.91,161.798
M,179.07,165.1,182.88
M,179.07,165.1,178.308
M,179.07,165.1,175.26
M,179.07,165.1,173.99
F,179.07,165.1,172.72
F,179.07,165.1,165.1
F,179.07,165.1,156.21
F,179.07,165.1,154.94
F,179.07,165.1,154.94
M,177.8,165.1,185.42
M,177.8,165.1,182.88
M,177.8,165.1,179.07
M,177.8,165.1,165.1
M,177.8,165.1,165.1
F,177.8,165.1,163.83
F,177.8,165.1,160.02
F,177.8,165.1,157.48
M,177.8,165.1,170.18
M,177.8,165.1,165.1
F,177.8,165.1,163.83
F,177.8,165.1,158.75
F,177.8,165.1,158.75
M,177.8,165.1,177.8
M,177.8,165.1,177.8
F,177.8,165.1,170.18
F,177.8,165.1,165.1
F,177.8,165.1,165.1
F,177.8,165.1,160.02
M,177.8,165.1,200.66
M,177.8,165.1,190.5
M,177.8,165.1,180.34
F,177.8,165.1,175.26
F,177.8,165.1,170.18
F,177.8,165.1,166.878
F,177.8,165.1,157.48
M,177.8,165.1,185.42
M,177.8,165.1,184.15
F,177.8,165.1,165.1
M,177.8,165.1,175.26
M,177.8,165.1,175.26
M,177.8,164.338,182.88
M,177.8,164.338,177.8
M,177.8,164.338,174.498
F,177.8,164.338,168.91
F,177.8,164.338,166.37
F,177.8,164.338,164.338
F,177.8,164.338,163.83
M,177.8,162.56,179.578
M,177.8,162.56,177.8
M,177.8,162.56,172.72
M,177.8,162.56,170.18
M,177.8,162.56,167.64
M,177.8,162.56,165.1
F,177.8,162.56,170.18
M,177.8,162.56,177.8
M,177.8,162.56,172.72
M,177.8,162.56,169.418
F,177.8,162.56,166.37
M,177.8,163.068,182.88
M,177.8,163.068,177.8
F,177.8,163.068,158.75
F,177.8,163.068,155.448
F,177.8,163.068,152.654
M,179.07,162.56,187.96
M,179.07,162.56,176.53
M,179.07,162.56,175.26
M,179.07,162.56,172.72
M,179.07,162.56,172.72
M,179.07,162.56,172.72
F,179.07,162.56,166.37
F,179.07,162.56,165.1
F,179.07,163.83,152.4
M,177.8,162.56,172.72
F,177.8,162.56,165.1
F,177.8,162.56,162.56
F,177.8,162.56,157.48
M,177.8,162.56,180.34
M,177.8,162.56,177.8
M,177.8,162.56,177.8
M,177.8,162.56,177.8
M,177.8,162.56,176.53
M,177.8,162.56,173.99
F,177.8,162.56,175.26
F,177.8,162.56,165.1
F,177.8,162.56,162.56
M,177.8,161.798,177.8
M,177.8,161.798,170.18
M,177.8,161.798,166.37
F,177.8,161.798,161.798
F,177.8,161.798,160.528
F,177.8,161.798,158.75
F,177.8,161.798,157.988
F,177.8,161.798,154.94
M,179.07,160.02,184.15
M,179.07,160.02,175.26
M,179.07,160.02,170.18
F,179.07,160.02,163.83
F,179.07,160.02,162.56
M,177.8,161.29,180.34
M,177.8,161.29,171.45
F,177.8,161.29,171.45
F,177.8,161.29,161.29
M,177.8,160.02,172.72
M,177.8,160.02,170.18
F,177.8,160.02,161.798
F,177.8,160.02,157.48
M,177.8,160.02,177.8
M,177.8,160.02,168.91
F,177.8,160.02,157.48
F,177.8,160.02,154.94
M,179.07,157.48,182.88
M,179.07,157.48,177.8
M,179.07,157.48,176.53
M,179.07,157.48,176.53
M,179.07,157.48,172.72
F,179.07,157.48,165.1
F,179.07,157.48,162.56
F,179.07,157.48,160.02
M,178.562,159.258,179.578
M,178.562,159.258,177.038
M,178.562,159.258,175.768
M,178.562,159.258,165.608
F,178.562,159.258,162.56
F,178.562,159.258,161.29
F,178.562,159.258,160.528
M,179.07,157.48,182.88
M,179.07,157.48,182.88
F,179.07,157.48,152.4
M,177.8,154.94,180.848
M,177.8,154.94,170.18
M,177.8,152.4,170.18
M,177.8,152.4,163.83
F,177.8,152.4,165.1
F,177.8,152.4,160.02
F,177.8,152.4,165.1
F,177.8,152.4,165.1
M,177.8,148.59,181.61
M,177.8,148.59,163.83
F,177.8,148.59,160.02
M,177.8,147.32,182.88
M,177.8,147.32,167.64
F,177.8,147.32,167.64
F,177.8,147.32,165.1
F,177.8,147.32,160.02
M,175.26,173.99,190.5
M,175.26,173.99,180.34
M,175.26,173.99,177.8
F,175.26,173.99,167.64
F,175.26,173.99,167.64
F,175.26,173.99,166.37
F,175.26,173.99,165.1
F,175.26,173.99,165.1
F,175.26,173.99,162.56
F,175.26,173.99,162.56
F,175.26,170.18,162.56
M,175.26,167.64,185.42
M,175.26,167.64,182.88
M,175.26,167.64,182.118
M,175.26,167.64,181.61
F,175.26,167.64,166.37
F,175.26,167.64,165.1
F,175.26,167.64,159.258
F,175.26,167.64,158.75
M,175.26,167.64,180.848
M,175.26,167.64,180.34
M,175.26,167.64,177.8
M,175.26,169.418,190.5
M,175.26,169.418,187.96
M,175.26,169.418,182.88
M,175.26,169.418,173.99
M,175.26,169.418,170.18
M,175.26,169.418,167.64
M,175.26,167.64,177.8
M,175.26,167.64,173.99
M,175.26,167.64,172.72
F,175.26,167.64,165.1
F,175.26,167.64,160.02
F,175.26,167.64,158.75
M,175.26,168.91,185.42
M,175.26,168.91,180.34
M,175.26,168.91,179.07
M,175.26,168.91,179.07
F,175.26,168.91,154.94
M,176.53,168.91,179.07
M,176.53,168.91,171.45
F,176.53,168.91,163.83
F,176.53,168.91,162.56
M,175.26,168.91,180.34
F,175.26,168.91,173.99
F,175.26,168.91,171.45
F,175.26,168.91,167.64
F,175.26,168.91,160.02
F,175.26,168.91,160.02
M,176.53,167.64,180.34
M,176.53,167.64,180.34
M,176.53,167.64,179.07
M,176.53,167.64,179.07
F,176.53,167.64,168.91
F,176.53,167.64,166.37
F,176.53,167.64,163.83
M,175.26,167.64,185.42
M,175.26,167.64,182.88
M,175.26,167.64,175.26
M,175.26,167.64,175.26
F,175.26,167.64,168.91
F,175.26,167.64,166.37
F,175.26,167.64,166.37
F,175.26,167.64,165.1
F,175.26,167.64,162.56
M,175.26,165.1,177.8
M,175.26,165.1,173.99
M,175.26,165.1,170.18
F,175.26,165.1,165.1
F,175.26,165.1,162.56
F,175.26,165.1,161.29
F,175.26,165.1,154.94
M,176.53,163.83,177.038
M,176.53,163.83,172.72
M,176.53,163.83,152.4
F,176.53,163.83,165.608
F,176.53,163.83,163.83
F,176.53,163.83,161.798
F,176.53,163.83,152.4
M,175.768,162.56,182.118
M,175.768,162.56,168.91
F,175.768,162.56,165.1
F,175.768,162.56,161.29
M,175.26,160.02,175.26
F,175.26,160.02,171.45
F,175.26,160.02,161.29
M,175.26,160.02,182.88
M,175.26,160.02,185.42
M,175.26,160.02,177.8
M,175.26,160.02,177.8
M,175.26,160.02,162.56
F,175.26,160.02,167.64
F,175.26,160.02,157.48
M,175.26,161.29,179.07
M,175.26,161.29,170.18
M,175.26,161.29,167.64
F,175.26,161.29,165.1
F,175.26,161.29,160.02
F,175.26,161.29,157.48
F,175.26,161.29,154.94
M,175.26,161.29,179.07
F,175.26,161.29,161.798
F,175.26,161.29,160.02
F,177.038,157.48,158.75
M,176.53,157.48,185.42
M,176.53,157.48,182.88
M,176.53,157.48,175.26
M,175.26,157.48,185.42
M,175.26,157.48,180.34
M,175.26,157.48,180.34
M,175.26,157.48,175.26
F,175.26,157.48,160.02
M,175.26,158.75,180.34
M,175.26,158.75,177.8
M,175.26,158.75,177.8
M,175.26,158.75,175.26
F,175.26,158.75,161.29
F,175.26,158.75,158.75
F,175.26,158.75,158.75
F,175.26,158.75,157.48
M,175.26,157.48,182.88
M,175.26,157.48,172.72
F,175.26,157.48,167.64
F,175.26,157.48,167.64
M,176.53,154.94,177.8
M,176.53,154.94,176.53
M,176.53,154.94,175.26
F,176.53,154.94,160.02
F,176.53,154.94,157.48
M,175.26,154.94,172.72
M,175.26,154.94,172.72
M,175.26,154.94,171.45
M,175.26,154.94,162.56
M,175.26,154.94,160.02
M,175.26,154.94,160.02
F,175.26,154.94,161.29
F,175.26,154.94,157.48
F,175.26,154.94,157.48
M,175.26,152.4,179.07
F,175.26,152.4,172.72
F,175.26,152.4,158.75
M,175.26,152.4,175.26
M,175.26,152.4,167.64
F,175.26,152.4,156.718
F,175.26,152.4,153.67
M,175.26,153.67,176.53
M,174.498,179.07,180.34
F,174.498,179.07,156.718
M,173.99,170.18,185.42
M,173.99,170.18,180.34
F,173.99,170.18,170.18
M,173.99,168.91,177.8
M,173.99,168.91,175.26
M,173.99,168.91,175.26
M,173.99,168.91,174.498
M,173.99,168.91,173.99
M,173.99,168.91,173.99
M,173.99,168.91,172.72
M,173.99,168.91,172.72
M,173.99,168.91,172.72
F,173.99,168.91,160.528
M,172.72,165.1,171.45
M,172.72,165.1,167.64
M,172.72,166.37,167.64
F,172.72,166.37,162.56
M,172.72,166.37,182.118
M,172.72,166.37,181.61
M,172.72,166.37,179.578
M,172.72,166.37,166.37
F,172.72,166.37,168.91
F,172.72,166.37,165.608
F,172.72,166.37,156.21
M,172.72,165.1,182.88
M,172.72,165.1,182.88
F,172.72,165.1,172.72
F,172.72,165.1,167.64
M,173.99,165.1,175.768
M,173.99,165.1,172.72
M,173.99,165.1,167.64
M,173.99,165.1,167.64
F,173.99,165.1,157.48
F,173.99,165.1,156.21
F,173.99,165.1,154.94
F,173.99,165.1,152.4
M,172.72,162.56,180.34
M,172.72,162.56,172.72
M,172.72,162.56,172.72
M,172.72,162.56,170.18
F,172.72,162.56,165.1
F,172.72,162.56,162.56
F,172.72,162.56,160.02
F,172.72,162.56,160.02
F,172.72,162.56,157.48
F,172.72,162.56,154.94
M,172.72,162.56,167.64
M,172.72,162.56,160.02
F,172.72,162.56,166.37
F,172.72,162.56,157.48
M,172.72,162.56,180.848
M,172.72,162.56,180.848
M,172.72,162.56,175.26
M,172.72,162.56,173.99
F,172.72,162.56,158.75
F,172.72,163.83,157.48
M,172.72,162.56,175.26
M,172.72,162.56,170.18
M,172.72,162.56,167.64
F,172.72,162.56,167.64
F,172.72,162.56,167.64
F,172.72,162.56,165.1
F,172.72,162.56,165.1
F,172.72,162.56,165.1
F,172.72,162.56,162.56
F,172.72,162.56,160.02
M,172.72,160.02,179.07
M,172.72,160.02,177.8
M,172.72,160.02,172.72
M,172.72,160.02,167.64
M,172.72,160.02,167.64
F,172.72,160.02,167.64
F,172.72,160.02,157.48
F,172.72,160.02,156.21
M,173.99,161.29,186.69
M,173.99,161.29,177.8
M,173.99,161.29,176.53
F,173.99,161.29,166.37
M,172.72,160.02,170.18
M,172.72,160.02,177.8
M,172.72,160.02,172.72
F,172.72,160.02,163.83
F,172.72,160.02,162.56
M,172.72,160.02,180.34
M,172.72,160.02,172.72
M,172.72,160.02,167.64
M,172.72,160.02,166.37
M,172.72,160.02,165.1
F,172.72,160.02,160.02
F,172.72,160.02,157.48
